ShipDate,OrderNumber,ItemCode,ItemDescription,OrderLocation,SKUCode,Department,UnitsSold,TotalNetRevenue,TotalCOGS,GrossMarginDollars,GrossMarginPercent,CurrentAverageCost,CurrentRetailPriceEach,Current_GM_Each,Class,Category,Sub_Class,Quarter
1/15/2007  12:00:00 AM,G0798604,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,125.54,65.22,60.32,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/15/2007  12:00:00 AM,G0798604,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,174.46,90.63,83.83,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/15/2007  12:00:00 AM,G0798858,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/15/2007  12:00:00 AM,WEB0800335,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/15/2007  12:00:00 AM,G0800055,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",234 - North Avenue Studio,101738,LIGHTING,2.00,550.00,311.71,238.29,43.33,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/15/2007  12:00:00 AM,G0800539,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",269 - New Orleans Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/15/2007  12:00:00 AM,G0766522,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",285 - FlatIron Studio,101738,LIGHTING,1.00,300.00,155.85,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/15/2007  12:00:00 AM,G0799004,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",285 - FlatIron Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/16/2007  12:00:00 AM,G0800995,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/16/2007  12:00:00 AM,G0801032,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",218 - Dallas Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/16/2007  12:00:00 AM,G0800031,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",223 - Chelsea Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/16/2007  12:00:00 AM,G0800466,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",228 - Cambridge Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/16/2007  12:00:00 AM,G0801088,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",230 - Berkeley Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/16/2007  12:00:00 AM,G0801410,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",252 - Scottsdale Studio,101738,LIGHTING,1.00,63.06,32.76,30.30,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/16/2007  12:00:00 AM,G0801410,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",252 - Scottsdale Studio,101738,LIGHTING,1.00,236.94,123.10,113.85,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/17/2007  12:00:00 AM,G0801408,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",248 - Atlanta Studio,101738,LIGHTING,4.00,"1,180.24",623.42,556.82,47.18,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/18/2007  12:00:00 AM,WEB0802679,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/18/2007  12:00:00 AM,G0802664,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",222 - South Beach Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/18/2007  12:00:00 AM,G0802487,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",224 - West Palm Beach Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/18/2007  12:00:00 AM,G0802224,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",245 - Minneapolis Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/18/2007  12:00:00 AM,G0802525,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",255 - Kirkland Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/18/2007  12:00:00 AM,G0802387,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",271 - Potrero Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/19/2007  12:00:00 AM,WEB0803166,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/19/2007  12:00:00 AM,G0803210,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",218 - Dallas Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/19/2007  12:00:00 AM,G0801768,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",250 - Mill Valley Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/22/2007  12:00:00 AM,WEB0803943,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/22/2007  12:00:00 AM,WEB0804390,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/22/2007  12:00:00 AM,G0803840,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",227 - Brooklyn Heights Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/22/2007  12:00:00 AM,G0804055,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",229 - Columbus Ave Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/23/2007  12:00:00 AM,WEB0805064,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.86,144.13,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/23/2007  12:00:00 AM,WEB0805098,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/23/2007  12:00:00 AM,G0805164,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",225 - East 62nd Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/23/2007  12:00:00 AM,G0803113,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",285 - FlatIron Studio,101738,LIGHTING,1.00,225.00,155.86,69.14,30.73,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/24/2007  12:00:00 AM,G0805019,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",244 - Seattle Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/25/2007  12:00:00 AM,G0803278,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",215 - Newport Beach Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/25/2007  12:00:00 AM,G0806647,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",271 - Potrero Studio,101738,LIGHTING,1.00,300.00,155.86,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/26/2007  12:00:00 AM,WEB0807279,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.87,144.14,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
